MovieName,Year,Rating,Rank
The Shawshank Redemption,1994,9.3,1
Oppenheimer,2023,8.4,81
Léon,1994,8.5,38
Whiplash,2014,8.5,41
American History X,1998,8.5,40
The Lion King,1994,8.5,37
The Prestige,2006,8.5,42
Gladiator,2000,8.5,36
The Departed,2006,8.5,39
Gisaengchung,2019,8.5,34
Psycho,1960,8.5,35
The Pianist,2002,8.5,33
Back to the Future,1985,8.5,30
Sen to Chihiro no kamikakushi,2001,8.6,32
Star Wars,1977,8.6,29
Terminator 2: Judgment Day,1991,8.6,28
Gangs of Wasseypur,2012,−,−
Aladdin,1992,8.0,249
Life of Brian,1979,−,−
Persona,1966,−,−
Les Quatre cents coups,1959,8.1,248
The Help,2011,8.1,246
The Iron Giant,1999,8.1,245
Pather Panchali,1955,−,−
It Happened One Night,1934,8.1,247
The Sound of Music,1965,8.1,241
Cool Hand Luke,1967,8.1,244
Rebecca,1940,8.1,243
Amores perros,2000,8.1,242
The Grapes of Wrath,1940,8.1,239
La Battaglia di Algeri,1966,8.1,240
Babam Ve Oglum,2005,8.2,237
Ah-ga-ssi,2016,8.1,235
Groundhog Day,1993,8.0,238
Hachi: A Dog's Tale,2009,8.1,234
To Be or Not to Be,1942,8.1,236
The Incredibles,2004,8.0,232
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,229
Stand by Me,1986,8.1,230
The Exorcist,1973,8.1,227
Into the Wild,2007,8.1,233
La Haine,1995,8.1,225
Network,1976,8.1,228
The Wizard of Oz,1939,8.1,231
Rush,2013,8.1,226
Before Sunset,2004,8.1,223
The Best Years of Our Lives,1946,8.1,224
Jai Bhim,2021,8.7,222
The Terminator,1984,8.1,220
Spotlight,2015,8.1,218
La Passion de Jeanne d'Arc,1928,8.1,221
Logan,2017,8.1,217
Hotel Rwanda,2004,8.1,216
Platoon,1986,8.1,219
Rocky,1976,8.1,215
Ratatouille,2007,8.1,210
Tôkyô monogatari,1953,8.1,214
The Big Lebowski,1998,8.1,213
Ford v Ferrari,2019,8.1,209
Room,2015,8.1,212
"Sjunde inseglet, Det",1957,8.1,211
Mary and Max,2009,8.1,208
Jaws,1975,8.1,205
How to Train Your Dragon,2010,8.1,206
Mr. Smith Goes to Washington,1939,8.1,207
"Monsters, Inc.",2001,8.1,204
Dead Poets Society,1989,8.1,197
Sherlock Jr.,1924,8.2,201
Mad Max: Fury Road,2015,8.1,199
Relatos salvajes,2014,8.1,198
The Third Man,1949,8.1,202
Smultronstället,1957,8.1,200
Le Salaire de la peur,1953,8.2,203
Salinui chueok,2003,8.1,193
The Deer Hunter,1978,8.1,196
The General,1926,8.1,195
In the Name of the Father,1993,8.1,192
Hacksaw Ridge,2016,8.1,191
On the Waterfront,1954,8.1,194
Barry Lyndon,1975,8.1,188
Gone Girl,2014,8.1,189
Ben-Hur,1959,8.1,187
The Gold Rush,1925,8.1,190
The Grand Budapest Hotel,2014,8.1,186
Before Sunrise,1995,8.1,185
12 Years a Slave,2013,8.1,183
Blade Runner,1982,8.1,184
Bacheha-Ye aseman,1997,8.2,182
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,181
Klaus,2019,8.2,176
Million Dollar Baby,2004,8.1,180
Catch Me If You Can,2002,8.1,177
Tonari no Totoro,1988,8.1,179
Gran Torino,2008,8.1,178
Warrior,2011,8.1,175
Fargo,1996,8.1,173
Trainspotting,1996,8.1,170
"Three Billboards Outside Ebbing, Missouri",2017,8.1,169
Spider-Man: No Way Home,2021,8.2,172
"Lock, Stock and Two Smoking Barrels",1998,8.1,165
El Secreto de sus ojos,2009,8.2,166
Inside Out,2015,8.1,168
Prisoners,2013,8.1,161
The Bridge on the River Kwai,1957,8.1,171
Raging Bull,1980,8.1,167
Gone with the Wind,1939,8.2,163
V for Vendetta,2005,8.2,164
Dial M for Murder,1954,8.2,162
Hauru no ugoku shiro,2004,8.2,159
Chinatown,1974,8.1,160
The Elephant Man,1980,8.2,158
Finding Nemo,2003,8.2,156
Rashômon,1950,8.2,157
The Thing,1982,8.2,152
The Great Escape,1963,8.2,155
Monty Python and the Holy Grail,1975,8.2,154
Kill Bill: Vol. 1,2003,8.2,153
No Country for Old Men,2007,8.2,149
Yôjinbô,1961,8.2,151
The Treasure of the Sierra Madre,1948,8.2,150
A Beautiful Mind,2001,8.2,148
Jurassic Park,1993,8.2,144
Unforgiven,1992,8.2,147
The Sixth Sense,1999,8.2,145
El Laberinto del fauno,2006,8.2,146
Shutter Island,2010,8.2,141
Casino,1995,8.2,142
Ran,1985,8.2,143
The Truman Show,1998,8.2,139
There Will Be Blood,2007,8.2,140
Judgment at Nuremberg,1961,8.3,137
All About Eve,1950,8.2,138
Green Book,2018,8.2,134
The Father,2020,8.2,135
The Wolf of Wall Street,2013,8.2,132
The Kid,1921,8.2,133
Some Like It Hot,1959,8.2,131
Top Gun: Maverick,2022,8.3,136
Batman Begins,2005,8.2,130
Per qualche dollaro in più,1965,8.2,129
Dangal,2016,8.3,128
Der Untergang,2004,8.2,127
1917,2019,8.2,125
Taxi Driver,1976,8.2,126
Snatch.,2000,8.2,122
Taare Zameen Par,2007,8.3,121
Ladri di biciclette,1948,8.3,123
L.A. Confidential,1997,8.2,124
Die Hard,1988,8.2,118
Metropolis,1927,8.3,120
Indiana Jones and the Last Crusade,1989,8.2,117
Jodaeiye Nader az Simin,2011,8.3,116
The Sting,1973,8.3,115
To Kill a Mockingbird,1962,8.3,114
Up,2009,8.3,113
Hamilton,2020,8.3,119
Incendies,2010,8.3,109
Full Metal Jacket,1987,8.3,110
Scarface,1983,8.3,107
Heat,1995,8.3,112
A Clockwork Orange,1971,8.3,111
Le Fabuleux destin d'Amélie Poulain,2001,8.3,108
Double Indemnity,1944,8.3,106
Vertigo,1958,8.3,105
North by Northwest,1959,8.3,103
The Apartment,1960,8.3,101
M,1931,8.3,104
Citizen Kane,1941,8.3,102
Lawrence of Arabia,1962,8.3,100
Ikiru,1952,8.3,99
Reservoir Dogs,1992,8.3,98
Jagten,2012,8.3,95
2001: A Space Odyssey,1968,8.3,96
Eternal Sunshine of the Spotless Mind,2004,8.3,94
Star Wars: Episode VI - Return of the Jedi,1983,8.3,93
Idi i smotri,1985,8.4,91
Toy Story 3,2010,8.3,92
Capharnaüm,2018,8.4,89
Requiem for a Dream,2000,8.3,90
Tengoku to jigoku,1963,8.4,86
Singin' in the Rain,1952,8.3,88
3 Idiots,2009,8.4,87
Kimi no na wa.,2016,8.4,84
Good Will Hunting,1997,8.3,83
Once Upon a Time in America,1984,8.3,85
Mononoke-hime,1997,8.3,82
Joker,2019,8.4,80
Avengers: Endgame,2019,8.4,79
Braveheart,1995,8.3,78
Das Boot,1981,8.4,77
Toy Story,1995,8.3,76
Oldeuboi,2003,8.3,73
Coco,2017,8.4,74
Inglourious Basterds,2009,8.4,69
The Dark Knight Rises,2012,8.4,70
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,72
Amadeus,1984,8.4,75
American Beauty,1999,8.3,71
Aliens,1986,8.4,68
Spider-Man: Into the Spider-Verse,2018,8.4,64
The Great Dictator,1940,8.4,67
Witness for the Prosecution,1957,8.4,66
The Shining,1980,8.4,65
Avengers: Infinity War,2018,8.4,63
Paths of Glory,1957,8.4,62
Das Leben der Anderen,2006,8.4,60
Sunset Blvd.,1950,8.4,61
WALL·E,2008,8.4,58
Raiders of the Lost Ark,1981,8.4,59
Django Unchained,2012,8.5,56
Memento,2000,8.4,57
Apocalypse Now,1979,8.4,55
City Lights,1931,8.5,54
Alien,1979,8.5,53
Rear Window,1954,8.5,51
C'era una volta il West,1968,8.5,52
Nuovo Cinema Paradiso,1988,8.5,49
Intouchables,2011,8.5,47
Seppuku,1962,8.6,44
Casablanca,1942,8.5,46
Modern Times,1936,8.5,48
Hotaru no haka,1988,8.5,43
The Usual Suspects,1995,8.5,45
The Green Mile,1999,8.6,27
La Vita è bella,1997,8.6,26
Interstellar,2014,8.7,21
Saving Private Ryan,1998,8.6,24
Cidade de Deus,2002,8.6,25
Shichinin no samurai,1954,8.6,22
The Silence of the Lambs,1991,8.6,23
It's a Wonderful Life,1946,8.6,20
Se7en,1995,8.6,19
Spider-Man: Across the Spider-Verse,2023,8.6,31
One Flew Over the Cuckoo's Nest,1975,8.7,18
Goodfellas,1990,8.7,17
The Empire Strikes Back,1980,8.7,15
The Matrix,1999,8.7,16
Inception,2010,8.8,14
The Lord of the Rings: The Two Towers,2002,8.8,13
Fight Club,1999,8.8,12
Forrest Gump,1994,8.8,11
Pulp Fiction,1994,8.9,8
The Lord of the Rings: The Return of the King,2003,9.0,7
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,9
Schindler's List,1993,9.0,6
"Il buono, il brutto, il cattivo",1966,8.8,10
12 Angry Men,1957,9.0,5
The Godfather: Part II,1974,9.0,4
The Dark Knight,2008,9.0,3
The Godfather,1972,9.2,2
